code,occupation,degree required,work experience required
39-6011,Baggage porters and bellhops,High school diploma or equivalent,None
39-6012,Concierges,High school diploma or equivalent,None
39-7010,Tour and travel guides,High school diploma or equivalent,None
39-9011,Childcare workers,High school diploma or equivalent,None
39-9021,Personal care aides,High school diploma or equivalent,None
39-9031,Fitness trainers and aerobics instructors,High school diploma or equivalent,None
39-9032,Recreation workers,High school diploma or equivalent,None
39-9041,Residential advisors,High school diploma or equivalent,None
39-9099,"Personal care and service workers, all other",High school diploma or equivalent,None
41-1011,First-line supervisors of retail sales workers,High school diploma or equivalent,Less than 5 years
41-1012,First-line supervisors of non-retail sales workers,High school diploma or equivalent,Less than 5 years
41-2011,Cashiers,No formal educational credential,None
41-2012,Gaming change persons and booth cashiers,No formal educational credential,None
41-2021,Counter and rental clerks,No formal educational credential,None
41-2022,Parts salespersons,No formal educational credential,None
41-2031,Retail salespersons,No formal educational credential,None
41-3011,Advertising sales agents,High school diploma or equivalent,None
41-3021,Insurance sales agents,High school diploma or equivalent,None
41-3031,"Securities, commodities, and financial services sales agents",Bachelor's degree,None
41-3041,Travel agents,High school diploma or equivalent,None
41-3099,"Sales representatives, services, all other",High school diploma or equivalent,None
41-4011,"Sales representatives, wholesale and manufacturing, technical and scientific products",Bachelor's degree,None
41-4012,"Sales representatives, wholesale and manufacturing, except technical and scientific products",High school diploma or equivalent,None
41-9011,Demonstrators and product promoters,No formal educational credential,None
41-9012,Models,No formal educational credential,None
41-9021,Real estate brokers,High school diploma or equivalent,Less than 5 years
41-9022,Real estate sales agents,High school diploma or equivalent,None
41-9031,Sales engineers,Bachelor's degree,None
41-9041,Telemarketers,No formal educational credential,None
41-9091,"Door-to-door sales workers, news and street vendors, and related workers",No formal educational credential,None
41-9099,"Sales and related workers, all other",High school diploma or equivalent,None
43-1011,First-line supervisors of office and administrative support workers,High school diploma or equivalent,Less than 5 years
43-2011,"Switchboard operators, including answering service",High school diploma or equivalent,None
43-2021,Telephone operators,High school diploma or equivalent,None
43-2099,"Communications equipment operators, all other",High school diploma or equivalent,None
43-3011,Bill and account collectors,High school diploma or equivalent,None
43-3021,Billing and posting clerks,High school diploma or equivalent,None
43-3031,"Bookkeeping, accounting, and auditing clerks","Some college, no degree",None
43-3041,Gaming cage workers,High school diploma or equivalent,None
43-3051,Payroll and timekeeping clerks,High school diploma or equivalent,None
43-3061,Procurement clerks,High school diploma or equivalent,None
43-3071,Tellers,High school diploma or equivalent,None
43-3099,"Financial clerks, all other",High school diploma or equivalent,None
43-4011,Brokerage clerks,High school diploma or equivalent,None
43-4021,Correspondence clerks,High school diploma or equivalent,None
43-4031,"Court, municipal, and license clerks",High school diploma or equivalent,None
43-4041,"Credit authorizers, checkers, and clerks",High school diploma or equivalent,None
43-4051,Customer service representatives,High school diploma or equivalent,None
43-4061,"Eligibility interviewers, government programs",High school diploma or equivalent,None
43-4071,File clerks,High school diploma or equivalent,None
43-4081,"Hotel, motel, and resort desk clerks",High school diploma or equivalent,None
43-4111,"Interviewers, except eligibility and loan",High school diploma or equivalent,None
43-4121,"Library assistants, clerical",High school diploma or equivalent,None
43-4131,Loan interviewers and clerks,High school diploma or equivalent,None
43-4141,New accounts clerks,High school diploma or equivalent,None
43-4151,Order clerks,"Some college, no degree",None
43-4161,"Human resources assistants, except payroll and timekeeping",Associate's degree,None
43-4171,Receptionists and information clerks,High school diploma or equivalent,None
43-4181,Reservation and transportation ticket agents and travel clerks,High school diploma or equivalent,None
43-4199,"Information and record clerks, all other",High school diploma or equivalent,None
43-5011,Cargo and freight agents,High school diploma or equivalent,None
43-5021,Couriers and messengers,High school diploma or equivalent,None
43-5031,"Police, fire, and ambulance dispatchers",High school diploma or equivalent,None
43-5032,"Dispatchers, except police, fire, and ambulance",High school diploma or equivalent,None
43-5041,"Meter readers, utilities",High school diploma or equivalent,None
43-5051,Postal service clerks,High school diploma or equivalent,None
43-5052,Postal service mail carriers,High school diploma or equivalent,None
43-5053,"Postal service mail sorters, processors, and processing machine operators",High school diploma or equivalent,None
43-5061,"Production, planning, and expediting clerks",High school diploma or equivalent,None
43-5071,"Shipping, receiving, and traffic clerks",High school diploma or equivalent,None
43-5081,Stock clerks and order fillers,High school diploma or equivalent,None
43-5111,"Weighers, measurers, checkers, and samplers, recordkeeping",High school diploma or equivalent,None
43-6011,Executive secretaries and executive administrative assistants,High school diploma or equivalent,Less than 5 years
43-6012,Legal secretaries,High school diploma or equivalent,None
43-6013,Medical secretaries,High school diploma or equivalent,None
43-6014,"Secretaries and administrative assistants, except legal, medical, and executive",High school diploma or equivalent,None
43-9011,Computer operators,High school diploma or equivalent,None
43-9021,Data entry keyers,High school diploma or equivalent,None
43-9022,Word processors and typists,High school diploma or equivalent,None
43-9031,Desktop publishers,Associate's degree,None
43-9041,Insurance claims and policy processing clerks,High school diploma or equivalent,None
43-9051,"Mail clerks and mail machine operators, except postal service",High school diploma or equivalent,None
43-9061,"Office clerks, general",High school diploma or equivalent,None
43-9071,"Office machine operators, except computer",High school diploma or equivalent,None
43-9081,Proofreaders and copy markers,Bachelor's degree,None
43-9111,Statistical assistants,Bachelor's degree,None
43-9199,"Office and administrative support workers, all other",High school diploma or equivalent,None
45-1011,"First-line supervisors of farming, fishing, and forestry workers",High school diploma or equivalent,Less than 5 years
45-2011,Agricultural inspectors,Bachelor's degree,None
45-2021,Animal breeders,High school diploma or equivalent,None
45-2041,"Graders and sorters, agricultural products",No formal educational credential,None
45-2091,Agricultural equipment operators,No formal educational credential,None
45-2092,"Farmworkers and laborers, crop, nursery, and greenhouse",No formal educational credential,None
45-2093,"Farmworkers, farm, ranch, and aquacultural animals",No formal educational credential,None
45-2099,"Agricultural workers, all other",No formal educational credential,None
45-3000,Fishing and hunting workers,No formal educational credential,None
45-4011,Forest and conservation workers,High school diploma or equivalent,None
45-4021,Fallers,High school diploma or equivalent,None
45-4022,Logging equipment operators,High school diploma or equivalent,None
45-4023,Log graders and scalers,High school diploma or equivalent,None
45-4029,"Logging workers, all other",High school diploma or equivalent,None
47-1011,First-line supervisors of construction trades and extraction workers,High school diploma or equivalent,5 years or more
47-2011,Boilermakers,High school diploma or equivalent,None
47-2021,Brickmasons and blockmasons,High school diploma or equivalent,None
47-2022,Stonemasons,High school diploma or equivalent,None
47-2031,Carpenters,High school diploma or equivalent,None
47-2041,Carpet installers,No formal educational credential,None
47-2042,"Floor layers, except carpet, wood, and hard tiles",No formal educational credential,None
47-2043,Floor sanders and finishers,No formal educational credential,None
47-2044,Tile and marble setters,No formal educational credential,None
47-2051,Cement masons and concrete finishers,No formal educational credential,None
47-2053,Terrazzo workers and finishers,High school diploma or equivalent,None
47-2061,Construction laborers,No formal educational credential,None
47-2071,"Paving, surfacing, and tamping equipment operators",High school diploma or equivalent,None
47-2072,Pile-driver operators,High school diploma or equivalent,None
47-2073,Operating engineers and other construction equipment operators,High school diploma or equivalent,None
47-2081,Drywall and ceiling tile installers,No formal educational credential,None
47-2082,Tapers,No formal educational credential,None
47-2111,Electricians,High school diploma or equivalent,None
47-2121,Glaziers,High school diploma or equivalent,None
47-2131,"Insulation workers, floor, ceiling, and wall",No formal educational credential,None
47-2132,"Insulation workers, mechanical",High school diploma or equivalent,None
47-2141,"Painters, construction and maintenance",No formal educational credential,None
47-2142,Paperhangers,No formal educational credential,None
47-2151,Pipelayers,No formal educational credential,None
47-2152,"Plumbers, pipefitters, and steamfitters",High school diploma or equivalent,None
47-2161,Plasterers and stucco masons,No formal educational credential,None
47-2171,Reinforcing iron and rebar workers,High school diploma or equivalent,None
47-2181,Roofers,No formal educational credential,None
47-2211,Sheet metal workers,High school diploma or equivalent,None
47-2221,Structural iron and steel workers,High school diploma or equivalent,None
47-2231,Solar photovoltaic installers,High school diploma or equivalent,None
47-3011,"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",No formal educational credential,None
47-3012,Helpers--carpenters,No formal educational credential,None
47-3013,Helpers--electricians,High school diploma or equivalent,None
47-3014,"Helpers--painters, paperhangers, plasterers, and stucco masons",No formal educational credential,None
47-3015,"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",High school diploma or equivalent,None
47-3016,Helpers--roofers,No formal educational credential,None
47-3019,"Helpers, construction trades, all other",No formal educational credential,None
47-4011,Construction and building inspectors,High school diploma or equivalent,5 years or more
47-4021,Elevator installers and repairers,High school diploma or equivalent,None
47-4031,Fence erectors,No formal educational credential,None
47-4041,Hazardous materials removal workers,High school diploma or equivalent,None
47-4051,Highway maintenance workers,High school diploma or equivalent,None
47-4061,Rail-track laying and maintenance equipment operators,High school diploma or equivalent,None
47-4071,Septic tank servicers and sewer pipe cleaners,High school diploma or equivalent,None
47-4090,Miscellaneous construction and related workers,High school diploma or equivalent,None
47-5011,"Derrick operators, oil and gas",No formal educational credential,None
47-5012,"Rotary drill operators, oil and gas",No formal educational credential,None
47-5013,"Service unit operators, oil, gas, and mining",No formal educational credential,None
47-5021,"Earth drillers, except oil and gas",High school diploma or equivalent,None
47-5031,"Explosives workers, ordnance handling experts, and blasters",High school diploma or equivalent,Less than 5 years
47-5041,Continuous mining machine operators,No formal educational credential,None
47-5042,Mine cutting and channeling machine operators,High school diploma or equivalent,None
47-5049,"Mining machine operators, all other",High school diploma or equivalent,None
47-5051,"Rock splitters, quarry",No formal educational credential,None
47-5061,"Roof bolters, mining",High school diploma or equivalent,None
47-5071,"Roustabouts, oil and gas",No formal educational credential,None
47-5081,Helpers--extraction workers,High school diploma or equivalent,None
47-5099,"Extraction workers, all other",High school diploma or equivalent,None
49-1011,"First-line supervisors of mechanics, installers, and repairers",High school diploma or equivalent,Less than 5 years
49-2011,"Computer, automated teller, and office machine repairers","Some college, no degree",None
49-2021,"Radio, cellular, and tower equipment installers and repairers",Associate's degree,None
49-2022,"Telecommunications equipment installers and repairers, except line installers",Postsecondary nondegree award,None
49-2091,Avionics technicians,Associate's degree,None
49-2092,"Electric motor, power tool, and related repairers",High school diploma or equivalent,Less than 5 years
49-2093,"Electrical and electronics installers and repairers, transportation equipment",Postsecondary nondegree award,None
49-2094,"Electrical and electronics repairers, commercial and industrial equipment",Postsecondary nondegree award,None
49-2095,"Electrical and electronics repairers, powerhouse, substation, and relay",Postsecondary nondegree award,Less than 5 years
49-2096,"Electronic equipment installers and repairers, motor vehicles",High school diploma or equivalent,None
49-2097,Electronic home entertainment equipment installers and repairers,Postsecondary nondegree award,None
49-2098,Security and fire alarm systems installers,High school diploma or equivalent,None
49-3011,Aircraft mechanics and service technicians,Postsecondary nondegree award,None
49-3021,Automotive body and related repairers,High school diploma or equivalent,None
49-3022,Automotive glass installers and repairers,High school diploma or equivalent,None
49-3023,Automotive service technicians and mechanics,Postsecondary nondegree award,None
49-3031,Bus and truck mechanics and diesel engine specialists,High school diploma or equivalent,None
49-3041,Farm equipment mechanics and service technicians,High school diploma or equivalent,None
49-3042,"Mobile heavy equipment mechanics, except engines",High school diploma or equivalent,None
49-3043,Rail car repairers,High school diploma or equivalent,None
49-3051,Motorboat mechanics and service technicians,High school diploma or equivalent,None
49-3052,Motorcycle mechanics,Postsecondary nondegree award,None
49-3053,Outdoor power equipment and other small engine mechanics,High school diploma or equivalent,None
49-3091,Bicycle repairers,High school diploma or equivalent,None
49-3092,Recreational vehicle service technicians,High school diploma or equivalent,None
49-3093,Tire repairers and changers,High school diploma or equivalent,None
49-9011,Mechanical door repairers,High school diploma or equivalent,None
49-9012,"Control and valve installers and repairers, except mechanical door",High school diploma or equivalent,None
49-9021,"Heating, air conditioning, and refrigeration mechanics and installers",Postsecondary nondegree award,None
49-9031,Home appliance repairers,High school diploma or equivalent,None
49-9041,Industrial machinery mechanics,High school diploma or equivalent,None
49-9043,"Maintenance workers, machinery",High school diploma or equivalent,None
49-9044,Millwrights,High school diploma or equivalent,None
49-9045,"Refractory materials repairers, except brickmasons",High school diploma or equivalent,None
49-9051,Electrical power-line installers and repairers,High school diploma or equivalent,None
49-9052,Telecommunications line installers and repairers,High school diploma or equivalent,None
49-9061,Camera and photographic equipment repairers,High school diploma or equivalent,None
49-9062,Medical equipment repairers,Associate's degree,None
49-9063,Musical instrument repairers and tuners,High school diploma or equivalent,None
49-9064,Watch repairers,High school diploma or equivalent,None
49-9069,"Precision instrument and equipment repairers, all other",High school diploma or equivalent,None
49-9071,"Maintenance and repair workers, general",High school diploma or equivalent,None
49-9081,Wind turbine service technicians,Postsecondary nondegree award,None
49-9091,"Coin, vending, and amusement machine servicers and repairers",High school diploma or equivalent,None
49-9092,Commercial divers,Postsecondary nondegree award,None
49-9093,"Fabric menders, except garment",High school diploma or equivalent,None
49-9094,Locksmiths and safe repairers,High school diploma or equivalent,None
49-9095,Manufactured building and mobile home installers,High school diploma or equivalent,None
49-9096,Riggers,High school diploma or equivalent,None
49-9097,Signal and track switch repairers,High school diploma or equivalent,None
49-9098,"Helpers--installation, maintenance, and repair workers",High school diploma or equivalent,None
49-9099,"Installation, maintenance, and repair workers, all other",High school diploma or equivalent,None
51-1011,First-line supervisors of production and operating workers,High school diploma or equivalent,Less than 5 years
51-2011,"Aircraft structure, surfaces, rigging, and systems assemblers",High school diploma or equivalent,None
51-2021,"Coil winders, tapers, and finishers",High school diploma or equivalent,None
51-2028,"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",High school diploma or equivalent,None
51-2031,Engine and other machine assemblers,High school diploma or equivalent,None
51-2041,Structural metal fabricators and fitters,High school diploma or equivalent,None
51-2091,Fiberglass laminators and fabricators,High school diploma or equivalent,None
51-2093,Timing device assemblers and adjusters,High school diploma or equivalent,None
51-2098,"Assemblers and fabricators, all other, including team assemblers",High school diploma or equivalent,None
51-3011,Bakers,No formal educational credential,None
51-3021,Butchers and meat cutters,No formal educational credential,None
51-3022,"Meat, poultry, and fish cutters and trimmers",No formal educational credential,None
51-3023,Slaughterers and meat packers,No formal educational credential,None
51-3091,"Food and tobacco roasting, baking, and drying machine operators and tenders",No formal educational credential,None
51-3092,Food batchmakers,High school diploma or equivalent,None
51-3093,Food cooking machine operators and tenders,High school diploma or equivalent,None
51-3099,"Food processing workers, all other",No formal educational credential,None
51-4011,"Computer-controlled machine tool operators, metal and plastic",High school diploma or equivalent,None
51-4012,"Computer numerically controlled machine tool programmers, metal and plastic",Postsecondary nondegree award,None
51-4021,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent,None
51-4022,"Forging machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent,None
51-4023,"Rolling machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent,None
51-4031,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent,None
51-4032,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",High school diploma or equivalent,None
51-4033,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",High school diploma or equivalent,None
51-4034,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",High school diploma or equivalent,None
51-4035,"Milling and planing machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent,None
51-4041,Machinists,High school diploma or equivalent,None
51-4051,Metal-refining furnace operators and tenders,High school diploma or equivalent,None
51-4052,"Pourers and casters, metal",High school diploma or equivalent,None
51-4061,"Model makers, metal and plastic",High school diploma or equivalent,None
51-4062,"Patternmakers, metal and plastic",High school diploma or equivalent,None
51-4071,Foundry mold and coremakers,High school diploma or equivalent,None
51-4072,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent,None
51-4081,"Multiple machine tool setters, operators, and tenders, metal and plastic",High school diploma or equivalent,None
51-4111,Tool and die makers,Postsecondary nondegree award,None
51-4121,"Welders, cutters, solderers, and brazers",High school diploma or equivalent,None
51-4122,"Welding, soldering, and brazing machine setters, operators, and tenders",High school diploma or equivalent,None
51-4191,"Heat treating equipment setters, operators, and tenders, metal and plastic",High school diploma or equivalent,None
51-4192,"Layout workers, metal and plastic",High school diploma or equivalent,None
51-4193,"Plating and coating machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent,None
51-4194,"Tool grinders, filers, and sharpeners",High school diploma or equivalent,None
51-4199,"Metal workers and plastic workers, all other",High school diploma or equivalent,None
51-5111,Prepress technicians and workers,Postsecondary nondegree award,None
51-5112,Printing press operators,High school diploma or equivalent,None
51-5113,Print binding and finishing workers,High school diploma or equivalent,None
51-6011,Laundry and dry-cleaning workers,No formal educational credential,None
51-6021,"Pressers, textile, garment, and related materials",No formal educational credential,None
51-6031,Sewing machine operators,No formal educational credential,None
51-6041,Shoe and leather workers and repairers,High school diploma or equivalent,None
51-6042,Shoe machine operators and tenders,High school diploma or equivalent,None
51-6051,"Sewers, hand",No formal educational credential,None
51-6052,"Tailors, dressmakers, and custom sewers",No formal educational credential,None
51-6061,Textile bleaching and dyeing machine operators and tenders,High school diploma or equivalent,None
51-6062,"Textile cutting machine setters, operators, and tenders",High school diploma or equivalent,None
51-6063,"Textile knitting and weaving machine setters, operators, and tenders",High school diploma or equivalent,None
51-6064,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",High school diploma or equivalent,None
51-6091,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",High school diploma or equivalent,None
51-6092,Fabric and apparel patternmakers,High school diploma or equivalent,None
51-6093,Upholsterers,High school diploma or equivalent,None
51-6099,"Textile, apparel, and furnishings workers, all other",High school diploma or equivalent,None
51-7011,Cabinetmakers and bench carpenters,High school diploma or equivalent,None
51-7021,Furniture finishers,High school diploma or equivalent,None
51-7031,"Model makers, wood",High school diploma or equivalent,None
51-7032,"Patternmakers, wood",High school diploma or equivalent,None
51-7041,"Sawing machine setters, operators, and tenders, wood",High school diploma or equivalent,None
51-7042,"Woodworking machine setters, operators, and tenders, except sawing",High school diploma or equivalent,None
51-7099,"Woodworkers, all other",High school diploma or equivalent,None
51-8011,Nuclear power reactor operators,High school diploma or equivalent,None
51-8012,Power distributors and dispatchers,High school diploma or equivalent,None
51-8013,Power plant operators,High school diploma or equivalent,None
51-8021,Stationary engineers and boiler operators,High school diploma or equivalent,None
51-8031,Water and wastewater treatment plant and system operators,High school diploma or equivalent,None
51-8091,Chemical plant and system operators,High school diploma or equivalent,None
51-8092,Gas plant operators,High school diploma or equivalent,None
51-8093,"Petroleum pump system operators, refinery operators, and gaugers",High school diploma or equivalent,None
51-8099,"Plant and system operators, all other",High school diploma or equivalent,None
51-9011,Chemical equipment operators and tenders,High school diploma or equivalent,None
51-9012,"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",High school diploma or equivalent,None
51-9021,"Crushing, grinding, and polishing machine setters, operators, and tenders",High school diploma or equivalent,None
51-9022,"Grinding and polishing workers, hand",No formal educational credential,None
51-9023,"Mixing and blending machine setters, operators, and tenders",High school diploma or equivalent,None
51-9031,"Cutters and trimmers, hand",No formal educational credential,None
51-9032,"Cutting and slicing machine setters, operators, and tenders",High school diploma or equivalent,None
51-9041,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",High school diploma or equivalent,None
51-9051,"Furnace, kiln, oven, drier, and kettle operators and tenders",High school diploma or equivalent,None
51-9061,"Inspectors, testers, sorters, samplers, and weighers",High school diploma or equivalent,None
51-9071,Jewelers and precious stone and metal workers,High school diploma or equivalent,None
51-9081,Dental laboratory technicians,High school diploma or equivalent,None
51-9082,Medical appliance technicians,High school diploma or equivalent,None
51-9083,Ophthalmic laboratory technicians,High school diploma or equivalent,None
51-9111,Packaging and filling machine operators and tenders,High school diploma or equivalent,None
51-9121,"Coating, painting, and spraying machine setters, operators, and tenders",High school diploma or equivalent,None
51-9122,"Painters, transportation equipment",High school diploma or equivalent,None
51-9123,"Painting, coating, and decorating workers",No formal educational credential,None
51-9141,Semiconductor processors,High school diploma or equivalent,None
51-9151,Photographic process workers and processing machine operators,High school diploma or equivalent,None
51-9191,Adhesive bonding machine operators and tenders,High school diploma or equivalent,None
51-9192,"Cleaning, washing, and metal pickling equipment operators and tenders",High school diploma or equivalent,None
51-9193,Cooling and freezing equipment operators and tenders,High school diploma or equivalent,None
51-9194,Etchers and engravers,High school diploma or equivalent,None
51-9195,"Molders, shapers, and casters, except metal and plastic",High school diploma or equivalent,None
51-9196,"Paper goods machine setters, operators, and tenders",High school diploma or equivalent,None
51-9197,Tire builders,High school diploma or equivalent,None
51-9198,Helpers--production workers,High school diploma or equivalent,None
51-9199,"Production workers, all other",High school diploma or equivalent,None
53-1011,Aircraft cargo handling supervisors,High school diploma or equivalent,Less than 5 years
53-1048,"First-Line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",High school diploma or equivalent,Less than 5 years
53-2011,"Airline pilots, copilots, and flight engineers",Bachelor's degree,Less than 5 years
53-2012,Commercial pilots,High school diploma or equivalent,None
53-2021,Air traffic controllers,Associate's degree,None
53-2022,Airfield operations specialists,High school diploma or equivalent,None
53-2031,Flight attendants,High school diploma or equivalent,Less than 5 years
53-3011,"Ambulance drivers and attendants, except emergency medical technicians",High school diploma or equivalent,None
53-3021,"Bus drivers, transit and intercity",High school diploma or equivalent,None
53-3022,"Bus drivers, school or special client",High school diploma or equivalent,None
53-3031,Driver/sales workers,High school diploma or equivalent,None
53-3032,Heavy and tractor-trailer truck drivers,Postsecondary nondegree award,None
53-3033,Light truck or delivery services drivers,High school diploma or equivalent,None
53-3041,Taxi drivers and chauffeurs,No formal educational credential,None
53-3099,"Motor vehicle operators, all other",No formal educational credential,None
53-4011,Locomotive engineers,High school diploma or equivalent,Less than 5 years
53-4012,Locomotive firers,High school diploma or equivalent,None
53-4013,"Rail yard engineers, dinkey operators, and hostlers",High school diploma or equivalent,None
53-4021,"Railroad brake, signal, and switch operators",High school diploma or equivalent,None
53-4031,Railroad conductors and yardmasters,High school diploma or equivalent,None
53-4041,Subway and streetcar operators,High school diploma or equivalent,None
53-4099,"Rail transportation workers, all other",High school diploma or equivalent,None
53-5011,Sailors and marine oilers,No formal educational credential,None
53-5021,"Captains, mates, and pilots of water vessels",Postsecondary nondegree award,Less than 5 years
53-5022,Motorboat operators,Postsecondary nondegree award,Less than 5 years
53-5031,Ship engineers,Postsecondary nondegree award,Less than 5 years
53-6011,Bridge and lock tenders,High school diploma or equivalent,None
53-6021,Parking lot attendants,No formal educational credential,None
53-6031,Automotive and watercraft service attendants,No formal educational credential,None
53-6041,Traffic technicians,High school diploma or equivalent,None
53-6051,Transportation inspectors,High school diploma or equivalent,None
53-6061,"Transportation attendants, except flight attendants",High school diploma or equivalent,None
53-6099,"Transportation workers, all other",High school diploma or equivalent,None
53-7011,Conveyor operators and tenders,No formal educational credential,None
53-7021,Crane and tower operators,High school diploma or equivalent,Less than 5 years
53-7031,Dredge operators,High school diploma or equivalent,None
53-7032,Excavating and loading machine and dragline operators,High school diploma or equivalent,Less than 5 years
53-7033,"Loading machine operators, underground mining",No formal educational credential,None
53-7041,Hoist and winch operators,No formal educational credential,None
53-7051,Industrial truck and tractor operators,No formal educational credential,None
53-7061,Cleaners of vehicles and equipment,No formal educational credential,None
53-7062,"Laborers and freight, stock, and material movers, hand",No formal educational credential,None
53-7063,Machine feeders and offbearers,No formal educational credential,None
53-7064,"Packers and packagers, hand",No formal educational credential,None
53-7071,Gas compressor and gas pumping station operators,High school diploma or equivalent,None
53-7072,"Pump operators, except wellhead pumpers",High school diploma or equivalent,None
53-7073,Wellhead pumpers,High school diploma or equivalent,Less than 5 years
53-7081,Refuse and recyclable material collectors,No formal educational credential,None
53-7111,Mine shuttle car operators,No formal educational credential,None
53-7121,"Tank car, truck, and ship loaders",No formal educational credential,None
53-7199,"Material moving workers, all other",No formal educational credential,None
